Sample,Stock [CO2],Stock [CH4],Stock [N2O],Stock [O2],mL Stock,mL N2,[CO2] (ppm),[CH4] (ppm),[N2O] (ppm),[O2] (ppm)
Lab Air Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N2,0,0,0,0,0,18,0,0,0,0
SB1,152.4,0.9763,0.228,180100,18,0,152.4,0.9763,0.228,180100
SB2,426.2,3.008,0.379,240100,18,0,426.2,3.008,0.379,240100
SB3,2013,20.64,0.495,200500,18,0,2013,20.64,0.495,200500
SB4,4967,201.4,2.49,200700,18,0,4967,201.4,2.49,200700
SB5,10080,5029,5,202000,18,0,10080,5029,5,202000
SB6,49990,60340,20,,18,0,49990,60340,20,0
Outdoor Air 1,415,1.8,0.325,"209,500",0,18,0,0,0,0
Outdoor Air 2,415,1.8,0.325,"209,500",3,15,69.16666667,0.3,0.054166667,34916.66667
Outdoor Air 3,415,1.8,0.325,"209,500",6,12,138.3333333,0.6,0.108333333,69833.33333
Outdoor Air 4,415,1.8,0.325,"209,500",9,9,207.5,0.9,0.1625,104750
Outdoor Air 5,415,1.8,0.325,"209,500",12,6,276.6666667,1.2,0.216666667,139666.6667
Outdoor Air 6,415,1.8,0.325,"209,500",15,3,345.8333333,1.5,0.270833333,174583.3333
Outdoor Air 7,415,1.8,0.325,"209,500",18,0,415,1.8,0.325,209500
Oxygen Standard 1,0,0,0,"1,000,000",0,18,0,0,0,0
Oxygen Standard 2,0,0,0,"1,000,000",0.5,17.5,0,0,0,27777.77778
Oxygen Standard 3,0,0,0,"1,000,000",1,17,0,0,0,55555.55556
Oxygen Standard 4,0,0,0,"1,000,000",2,16,0,0,0,111111.1111
Oxygen Standard 5,0,0,0,"1,000,000",3,15,0,0,0,166666.6667